"מקור","קטגוריה/מדינה","כותרת","סוג","הערות/זווית","סטטוס"
"מוצילר","קרנבל (ברזיל)","לינה בקרנבל בפלורה","קיים לשכתוב","","טרם התחיל"
"מוצילר","קרנבל (ברזיל)","קרנבל רסיפה ואולינדה","קיים לשכתוב","","טרם התחיל"
"מוצילר","קרנבל (ברזיל)","קרנבל בשאר ברזיל","קיים לשכתוב","","טרם התחיל"
"מוצילר","קהילה ושירותים","קבוצות פייסבוק / וואטסאפ","קיים לשכתוב","","טרם התחיל"
"מוצילר","קהילה ושירותים","ביטוח נסיעות מוזל","קיים לשכתוב","","טרם התחיל"
"מוצילר","קהילה ושירותים","כרטיסים פיקטיביים חינם","קיים לשכתוב","","טרם התחיל"
"מוצילר","קהילה ושירותים","שגרירויות ביבשת","קיים לשכתוב","","טרם התחיל"
"מוצילר","קהילה ושירותים","בתי חב""ד וכשרות","קיים לשכתוב","","טרם התחיל"
"מוצילר","קהילה ושירותים","התנדבות בטיול","קיים לשכתוב","","טרם התחיל"
"מוצילר","קהילה ושירותים","שליחת דואר ביבשת","קיים לשכתוב","","טרם התחיל"
"מוצילר","פרו","עמוד מדינה מלא - פרו","קיים לשכתוב","תתי-נושאים: מזג אוויר, מטבע ובנקים, אשרות, קהילות וואטסאפ, לינה, אפליקציות מוניות ואוכל, סלולר, חב""ד, דואר, בטיחות, רופא, אוטובוסים ומעברי גבול, מפה ומסלולים, ערים לפי אזור","טרם התחיל"
"מוצילר","בוליביה","עמוד מדינה מלא - בוליביה","קיים לשכתוב","תתי-נושאים: מזג אוויר, מטבע ובנקים, אשרות, קהילות וואטסאפ, לינה, אפליקציות מוניות ואוכל, סלולר, חב""ד, דואר, בטיחות, רופא, אוטובוסים ומעברי גבול, מפה ומסלולים, ערים לפי אזור","טרם התחיל"
"מוצילר","קולומביה","עמוד מדינה מלא - קולומביה","קיים לשכתוב","תתי-נושאים: מזג אוויר, מטבע ובנקים, אשרות, קהילות וואטסאפ, לינה, אפליקציות מוניות ואוכל, סלולר, חב""ד, דואר, בטיחות, רופא, אוטובוסים ומעברי גבול, מפה ומסלולים, ערים לפי אזור","טרם התחיל"
"מוצילר","אקוודור","עמוד מדינה מלא - אקוודור","קיים לשכתוב","תתי-נושאים: מזג אוויר, מטבע ובנקים, אשרות, קהילות וואטסאפ, לינה, אפליקציות מוניות ואוכל, סלולר, חב""ד, דואר, בטיחות, רופא, אוטובוסים ומעברי גבול, מפה ומסלולים, ערים לפי אזור","טרם התחיל"
"מוצילר","ברזיל","עמוד מדינה מלא - ברזיל","קיים לשכתוב","תתי-נושאים: מזג אוויר, מטבע ובנקים, אשרות, קהילות וואטסאפ, לינה, אפליקציות מוניות ואוכל, סלולר, חב""ד, דואר, בטיחות, רופא, אוטובוסים ומעברי גבול, מפה ומסלולים, ערים לפי אזור","טרם התחיל"
"מוצילר","אורוגוואי","עמוד מדינה מלא - אורוגוואי","קיים לשכתוב","תתי-נושאים: מזג אוויר, מטבע ובנקים, אשרות, קהילות וואטסאפ, לינה, אפליקציות מוניות ואוכל, סלולר, חב""ד, דואר, בטיחות, רופא, אוטובוסים ומעברי גבול, מפה ומסלולים, ערים לפי אזור","טרם התחיל"
"מוצילר","צ'ילה","עמוד מדינה מלא - צ'ילה","קיים לשכתוב","תתי-נושאים: מזג אוויר, מטבע ובנקים, אשרות, קהילות וואטסאפ, לינה, אפליקציות מוניות ואוכל, סלולר, חב""ד, דואר, בטיחות, רופא, אוטובוסים ומעברי גבול, מפה ומסלולים, ערים לפי אזור","טרם התחיל"
"מוצילר","ארגנטינה","עמוד מדינה מלא - ארגנטינה","קיים לשכתוב","תתי-נושאים: מזג אוויר, מטבע ובנקים, אשרות, קהילות וואטסאפ, לינה, אפליקציות מוניות ואוכל, סלולר, חב""ד, דואר, בטיחות, רופא, אוטובוסים ומעברי גבול, מפה ומסלולים, ערים לפי אזור","טרם התחיל"
"מוצילר","מקסיקו","עמוד מדינה מלא - מקסיקו","קיים לשכתוב","תתי-נושאים: מזג אוויר, מטבע ובנקים, אשרות, קהילות וואטסאפ, לינה, אפליקציות מוניות ואוכל, סלולר, חב""ד, דואר, בטיחות, רופא, אוטובוסים ומעברי גבול, מפה ומסלולים, ערים לפי אזור","טרם התחיל"
"מוצילר","גואטמלה","עמוד מדינה מלא - גואטמלה","קיים לשכתוב","תתי-נושאים: מזג אוויר, מטבע ובנקים, אשרות, קהילות וואטסאפ, לינה, אפליקציות מוניות ואוכל, סלולר, חב""ד, דואר, בטיחות, רופא, אוטובוסים ומעברי גבול, מפה ומסלולים, ערים לפי אזור","טרם התחיל"
"מוצילר","ניקרגואה","עמוד מדינה מלא - ניקרגואה","קיים לשכתוב","תתי-נושאים: מזג אוויר, מטבע ובנקים, אשרות, קהילות וואטסאפ, לינה, אפליקציות מוניות ואוכל, סלולר, חב""ד, דואר, בטיחות, רופא, אוטובוסים ומעברי גבול, מפה ומסלולים, ערים לפי אזור","טרם התחיל"
"מוצילר","קוסטה ריקה","עמוד מדינה מלא - קוסטה ריקה","קיים לשכתוב","תתי-נושאים: מזג אוויר, מטבע ובנקים, אשרות, קהילות וואטסאפ, לינה, אפליקציות מוניות ואוכל, סלולר, חב""ד, דואר, בטיחות, רופא, אוטובוסים ומעברי גבול, מפה ומסלולים, ערים לפי אזור","טרם התחיל"
"מוצילר","פנמה","עמוד מדינה מלא - פנמה","קיים לשכתוב","תתי-נושאים: מזג אוויר, מטבע ובנקים, אשרות, קהילות וואטסאפ, לינה, אפליקציות מוניות ואוכל, סלולר, חב""ד, דואר, בטיחות, רופא, אוטובוסים ומעברי גבול, מפה ומסלולים, ערים לפי אזור","טרם התחיל"
"מוצילר","ארגנטינה","עמוד המלצות לינה נפרד - ארגנטינה","קיים לשכתוב","","טרם התחיל"
"מוצילר","צ'ילה","עמוד המלצות לינה נפרד - צ'ילה","קיים לשכתוב","","טרם התחיל"
"מוצילר","ברזיל","עמוד המלצות לינה נפרד - ברזיל","קיים לשכתוב","","טרם התחיל"
"מוצילר","בוליביה","עמוד המלצות לינה נפרד - בוליביה","קיים לשכתוב","","טרם התחיל"
"מוצילר","פרו","עמוד המלצות לינה נפרד - פרו","קיים לשכתוב","","טרם התחיל"
"מוצילר","אקוודור","עמוד המלצות לינה נפרד - אקוודור","קיים לשכתוב","","טרם התחיל"
"מוצילר","קולומביה","עמוד המלצות לינה נפרד - קולומביה","קיים לשכתוב","","טרם התחיל"
"מוצילר","פנמה","עמוד המלצות לינה נפרד - פנמה","קיים לשכתוב","","טרם התחיל"
"מוצילר","קוסטה ריקה","עמוד המלצות לינה נפרד - קוסטה ריקה","קיים לשכתוב","","טרם התחיל"
"מוצילר","גואטמלה","עמוד המלצות לינה נפרד - גואטמלה","קיים לשכתוב","","טרם התחיל"
"מוצילר","מקסיקו","עמוד המלצות לינה נפרד - מקסיקו","קיים לשכתוב","","טרם התחיל"
"רעיון חדש","יומן הוצאות אמיתי","כמה באמת עולה טיול לדרום אמריקה - יומן הוצאות אמיתי משלושה מטיילים","רעיון חדש","מספרים אמיתיים משלושה מטיילים (חסכני/בינוני/מפנק) לעומת הערכות גנריות אצל שני המתחרים","טרם התחיל"
"רעיון חדש","מסלולים מוכנים להורדה","המסלול המוכן ל-3, 6 ו-12 חודשים - הורידו והתחילו לתכנן","רעיון חדש","תבניות מסלול קונקרטיות להורדה, לא רק טיפים כלליים לתכנון","טרם התחיל"
"רעיון חדש","מטיילות לבד","מטיילות לבד בדרום אמריקה - בטיחות, עצמאות וקהילה","רעיון חדש","תוכן ממוקד-מגדר עם עדויות אישיות - לא קיים אצל אף מתחרה","טרם התחיל"
"רעיון חדש","מדריך אוכל","מדריך האוכל של דרום אמריקה - המנות שחייבים לנסות ב-17 מדינות","רעיון חדש","תוכן קולינרי שכמעט לא קיים אצל שני האתרים הלוגיסטיים","טרם התחיל"
"רעיון חדש","אחרי הטיול","אחרי הטיול - איך חוזרים לישראל בלי לאבד את עצמכם","רעיון חדש","תרבות הלם הפוך וחזרה הביתה - נושא רגשי שאף מתחרה לא נוגע בו","טרם התחיל"
"רעיון חדש","קוויז לבד/בקבוצה","לבד או בקבוצה? מבחן קצר שיגיד לכם איזה טיול מתאים לכם","רעיון חדש","פורמט אינטראקטיבי במקום עוד מאמר טקסט","טרם התחיל"
"רעיון חדש","השוואת טרקים","5 טרקים שכדאי להכיר מעבר להוואי-וואש - טבלת השוואה","רעיון חדש","טבלת קושי/ימים/עלות/עונה - פורמט שלא קיים בשני המתחרים","טרם התחיל"
"רעיון חדש","ביקורות ציוד","מדריך הציוד שבאמת נבדק - מה להביא ומה חבל שהבאתי","רעיון חדש","ביקורות מותגים אמיתיות, לא עוד רשימת צ'קליסט","טרם התחיל"
"רעיון חדש","דיגיטל נומד","דיגיטל נומד בדרום אמריקה - אינטרנט, קואורקינג ועלויות מגורים לטווח ארוך","רעיון חדש","קהל ניש שנרמז אצל מוצילר (""שהייה ממושכת"") אך לא פותח לכתבה מלאה","טרם התחיל"
"רעיון חדש","התנדבות אתית","התנדבות אמיתית מול וולנטוריזם - המדריך האתי לפרויקטים בדרום אמריקה","רעיון חדש","זווית ביקורתית וסינון ארגונים - לא קיים כלל אצל שני המתחרים","טרם התחיל"
"רעיון חדש","סיפורי דרך","יומן טיול: 30 יום בקולומביה - מה עבד, מה לא, ומה הייתי עושה אחרת","רעיון חדש","פורמט קבוע וחוזר, בהשראת כתבת ""סיפור דרך"" הבודדת של מוצילר","טרם התחיל"
"רעיון חדש","פסטיבלים אותנטיים","לוח הפסטיבלים האותנטי - לא רק הופעות בינלאומיות","רעיון חדש","תרבות מקומית לעומק, לא רק הופעות מסחריות","טרם התחיל"
"רעיון חדש","ירח דבש ליבשת שלמה","מסלולי ירח דבש בדרום אמריקה","רעיון חדש","גרינגו מכסה זאת רק במקסיקו/קוסטה ריקה - להרחיב לכל היבשת","טרם התחיל"
"רעיון חדש","מוצ'ילרו חוצה-גבולות","מסלול מוצ'ילרי בין מדינות - החיבורים שאף אחד לא מסביר","רעיון חדש","גרינגו מכסה זאת רק במרכז אמריקה - להרחיב לדרום אמריקה","טרם התחיל"
"רעיון חדש","ניהול כספים לכל מדינה","התנהלות כספית חכמה - מדריך לכל מדינה ביבשת","רעיון חדש","גרינגו מכסה זאת רק לבוליביה - להרחיב לכולן","טרם התחיל"
"רעיון חדש","חב""ד לכל מדינה","בתי חב""ד ומסורת יהודית ביבשת - מדריך לכל מדינה","רעיון חדש","גרינגו מכסה רק מקסיקו, מוצילר - כתבה כללית אחת בלבד","טרם התחיל"
"רעיון חדש","טיולים אחרי 50","טיולים אחרי גיל 50 בדרום אמריקה","רעיון חדש","פער אמיתי - אצל מוצילר רק 2 כתבות בודדות של כותבים אורחים","טרם התחיל"
"רעיון חדש","עדכונים חיים","מה קורה עכשיו ביבשת - עמוד עדכונים חי","רעיון חדש","בהשראת סרגל החדשות של מוצילר - תוכן שמתעדכן ומחזיר גולשים","טרם התחיל"
"רעיון חדש","החזר מס 18%","החזר מס 18% על קניות - המדריך שיחסוך לכם מאות שקלים","רעיון חדש","אצל מוצילר זה רק סעיף בתוך עמוד פרו - להפוך לכתבה עצמאית לכל המדינות","טרם התחיל"
"רעיון חדש","רכב ורישיון בינ""ל","רישיון נהיגה בינלאומי והשכרת רכב - המדריך המלא","רעיון חדש","הרחבה של סעיף קצר אצל מוצילר לכתבה מקיפה עם ביטוח ומעברי גבול","טרם התחיל"
"רעיון חדש","האב בריאות","בריאות בדרך - מלריה, זיקה, מחלת גבהים וצליאק/טבעוני במקום אחד","רעיון חדש","איחוד 4-5 כתבות מפוזרות אצל מוצילר להאב אחד מאורגן ואמין","טרם התחיל"
"רעיון חדש","פורטרט המטייל הישראלי","המטייל הישראלי בדרום אמריקה - פורטרט סוציולוגי-הומוריסטי","רעיון חדש","תוכן שיתופי ומבדר בהשראת הכתבה של גיא הוכמן - יוצר זהות מותגית","טרם התחיל"
"רעיון חדש","לילות ביבשת","לילות ביבשת - קזינו, בארים ומסיבות (לא רק לסטלנים)","רעיון חדש","פירוק תוכן חיי הלילה מהפריימינג ה""סטלני"" הבלעדי של מוצילר","טרם התחיל"
"רעיון חדש","השוואת אמזונסים","האמזונס - איפה כדאי לחוות אותו - מדריך השוואה מלא","רעיון חדש","העמקה עם מפה והשוואת תקציב/נגישות בין פרו/ברזיל/אקוודור/בוליביה","טרם התחיל"
"רעיון חדש","כלי החלטת תחבורה","התניידות חכמה - מתי טסים, מתי אוטובוס לילה","רעיון חדש","כלי/טבלת השוואה מרכזי, במקום סעיף מפוזר בכל עמוד מדינה","טרם התחיל"
"רעיון חדש","מדריך שפה","מדריך שפה - המילים והביטויים שיצילו אתכם בספרדית ופורטוגזית","רעיון חדש","פרזה-בוק הישרדותי לפי מדינה כולל סלנג מקומי, במקום ההפניה הגנרית ""ללמוד ספרדית""","טרם התחיל"
"רעיון חדש","ביטוח - סיפורי תביעה","ביטוח בריאות מול המציאות - מה קורה כשבאמת קורה משהו","רעיון חדש","סיפורי תביעה אמיתיים במקום עוד טבלת השוואת פוליסות","טרם התחיל"
"רעיון חדש","רחפנים","צילום רחפנים בדרום אמריקה - איפה מותר, איפה אסור ואיך מוציאים רישיון","רעיון חדש","נישה שלא מכוסה בכלל אצל שני המתחרים","טרם התחיל"
"רעיון חדש","השוואת פלטפורמות הזמנה","הוסטלוורלד מול בוקינג מול קבוצות פייסבוק - איפה באמת כדאי להזמין","רעיון חדש","השוואה מעשית של ערוצי הזמנה ומחירים שלא קיימת בשני האתרים","טרם התחיל"
"רעיון חדש","נגישות","טיול בדרום אמריקה עם מוגבלות - מדריך נגישות","רעיון חדש","קהל שלם שאף אחד מהמתחרים לא פונה אליו","טרם התחיל"
"רעיון חדש","פרוטוקול SOS","נגנב לי הדרכון/הכרטיס/הכסף - מה עושים באמת","רעיון חדש","פלייבוק פעולה שלב-אחר-שלב, לעומת מאמרי ""כללי בטיחות"" כלליים","טרם התחיל"
"רעיון חדש","תקשורת עם ההורים","איך לשמור על קשר עם ההורים בלי לדאוג אותם","רעיון חדש","זווית אנושית ורלוונטית שאף מתחרה לא מטפל בה","טרם התחיל"
"רעיון חדש","בחירת שותף לטיול","איך למצוא שותף לטיול שבאמת מתאים לכם","רעיון חדש","מסגרת התאמת אישיות, מעבר ל""קבוצת פייסבוק לחיפוש שותפים""","טרם התחיל"
"רעיון חדש","תזונה בדרך","לאכול בריא, זול ובטוח בלי לחלות - מדריך תזונה לטיול","רעיון חדש","זווית תזונתית-תקציבית, שונה ממדריך האוכל הקולינרי","טרם התחיל"
"רעיון חדש","המשך אחרי דרום אמריקה","אחרי דרום אמריקה - לאן ממשיכים? חיבורים ליעדים נוספים","רעיון חדש","שני המתחרים ממוקדים רק ביבשת - VAMOS יכול לשרת גם מטיילי RTW רב-יבשתיים","טרם התחיל"
"סול לטינו","מאמרים","עונת הקרנבל באמריקה הלטינית - צבעים, מוזיקה ומסורת","קיים לשכתוב","","טרם התחיל"
"סול לטינו","מאמרים","חופי פנמה המרהיבים","קיים לשכתוב","","טרם התחיל"
"סול לטינו","מאמרים","ברילוצ׳ה: נקודת עצירה מתוקה בבירת השוקולד של דרום אמריקה","קיים לשכתוב","","טרם התחיל"
"סול לטינו","מאמרים","האיים הקריביים – לא רק בטן גב","קיים לשכתוב","","טרם התחיל"
"סול לטינו","מאמרים","המדינה הכי יפה ושמחה בדרום אמריקה (ארגנטינה)","קיים לשכתוב","","טרם התחיל"
"סול לטינו","מאמרים","לטייל בדרום אמריקה עם הילדים (נקודת מבט של ההורים שנשארים בבית)","קיים לשכתוב","","טרם התחיל"
"סול לטינו","מאמרים","דרום אמריקה: מאורגן או עצמאי","קיים לשכתוב","","טרם התחיל"
"סול לטינו","מאמרים","דרום אמריקה לכל כיס","קיים לשכתוב","","טרם התחיל"
"סול לטינו","מאמרים","לבחור נכון יעד בדרום אמריקה","קיים לשכתוב","","טרם התחיל"
"סול לטינו","מאמרים","תעלומת העיר האבודה מאצ׳ו פיצ׳ו","קיים לשכתוב","","טרם התחיל"
"סול לטינו","טיפים","אנטארקטיקה ""לעניים"" - שייט אושוואיה-פונטה ארנס","קיים לשכתוב","שייט תקציבי ~2000$, זווית שלא קיימת בגרינגו/מוצילר","טרם התחיל"
"סול לטינו","טיפים","לטייל ולהתפנק בצ׳ילה - פוקון","קיים לשכתוב","","טרם התחיל"
"סול לטינו","טיפים","למטיילים בארגנטינה - צפון ארגנטינה וסלטה","קיים לשכתוב","","טרם התחיל"
"סול לטינו","טיפים","איזה רצועת חוף לבחור בברזיל (פורטלזה-רסיפה, פיפה)","קיים לשכתוב","","טרם התחיל"
"סול לטינו","טיפים","האי הכי יפה בדרום אמריקה (פרננדו דה נורוניה)","קיים לשכתוב","","טרם התחיל"
"סול לטינו","ארגנטינה","מודיעין יעדים - ארגנטינה (דף מידע מהיר)","קיים לשכתוב","פורמט טבלת עובדות: אוכלוסייה/בירה/מטבע/גבולות/שגרירות/ימי מינימום - לא נרטיבי","טרם התחיל"
"סול לטינו","צ'ילה","מודיעין יעדים - צ'ילה (דף מידע מהיר)","קיים לשכתוב","פורמט טבלת עובדות: אוכלוסייה/בירה/מטבע/גבולות/שגרירות/ימי מינימום - לא נרטיבי","טרם התחיל"
"סול לטינו","ברזיל","מודיעין יעדים - ברזיל (דף מידע מהיר)","קיים לשכתוב","פורמט טבלת עובדות: אוכלוסייה/בירה/מטבע/גבולות/שגרירות/ימי מינימום - לא נרטיבי","טרם התחיל"
"סול לטינו","פרו","מודיעין יעדים - פרו (דף מידע מהיר)","קיים לשכתוב","פורמט טבלת עובדות: אוכלוסייה/בירה/מטבע/גבולות/שגרירות/ימי מינימום - לא נרטיבי","טרם התחיל"
"סול לטינו","בוליביה","מודיעין יעדים - בוליביה (דף מידע מהיר)","קיים לשכתוב","פורמט טבלת עובדות: אוכלוסייה/בירה/מטבע/גבולות/שגרירות/ימי מינימום - לא נרטיבי","טרם התחיל"
"סול לטינו","פנמה","מודיעין יעדים - פנמה (דף מידע מהיר)","קיים לשכתוב","פורמט טבלת עובדות: אוכלוסייה/בירה/מטבע/גבולות/שגרירות/ימי מינימום - לא נרטיבי","טרם התחיל"
"סול לטינו","אקוודור","מודיעין יעדים - אקוודור (דף מידע מהיר)","קיים לשכתוב","פורמט טבלת עובדות: אוכלוסייה/בירה/מטבע/גבולות/שגרירות/ימי מינימום - לא נרטיבי","טרם התחיל"
"סול לטינו","קוסטה ריקה","מודיעין יעדים - קוסטה ריקה (דף מידע מהיר)","קיים לשכתוב","פורמט טבלת עובדות: אוכלוסייה/בירה/מטבע/גבולות/שגרירות/ימי מינימום - לא נרטיבי","טרם התחיל"
"סול לטינו","גואטמלה","מודיעין יעדים - גואטמלה (דף מידע מהיר)","קיים לשכתוב","פורמט טבלת עובדות: אוכלוסייה/בירה/מטבע/גבולות/שגרירות/ימי מינימום - לא נרטיבי","טרם התחיל"
"סול לטינו","מקסיקו","מודיעין יעדים - מקסיקו (דף מידע מהיר)","קיים לשכתוב","פורמט טבלת עובדות: אוכלוסייה/בירה/מטבע/גבולות/שגרירות/ימי מינימום - לא נרטיבי","טרם התחיל"
"סול לטינו","קובה","מודיעין יעדים - קובה (דף מידע מהיר)","קיים לשכתוב","פורמט טבלת עובדות: אוכלוסייה/בירה/מטבע/גבולות/שגרירות/ימי מינימום - לא נרטיבי","טרם התחיל"
"רעיון חדש","ילדים בטיול הגדול - נקודת מבט ההורים","ילדים בטיול הגדול - מה קורה להורים שנשארים בבית","רעיון חדש","זווית הפוכה שאף מתחרה לא מכסה - חרדה/געגוע/גאווה של ההורים, בהשראת מאמר של סול לטינו","טרם התחיל"
"רעיון חדש","אנטארקטיקה בתקציב","אנטארקטיקה בלי לשבור את הבנק - שייט אושוואיה-פונטה ארנס","רעיון חדש","נקודת כניסה תקציבית (~2000$) לחלום שנשמע בלתי אפשרי - נעדר לגמרי מגרינגו ומוצילר","טרם התחיל"
"לטיני","בוליביה","ויזה לבוליביה - עלות ומסמכים נדרשים","קיים לשכתוב","כתבה קצרה על עלות (כ-100 דולר) והמסמכים הנדרשים","טרם התחיל"
"לטיני","ברזיל","קרנבל 2021 בברזיל","קיים לשכתוב","תוכן מיושן (2021) - איתות שהאתר לא מתעדכן בתדירות גבוהה","טרם התחיל"
"לטיני","כללי - יבשת","השכרת דירות בדרום ומרכז אמריקה (שירות לטיני)","קיים לשכתוב","עמוד שירות/מוצר (לא כתבה) - השכרת דירות בהזמנה, קרוב לרעיון 24 (השוואת פלטפורמות הזמנה)","טרם התחיל"
"לטיני","כללי - יבשת","מפת דרום ומרכז אמריקה אינטראקטיבית","קיים לשכתוב","עמוד בית עם מפה קליקבילית לפי מדינה - אותו קונספט כמו עמוד הבית של VAMOS עצמו","טרם התחיל"
"תובנה אסטרטגית","בריאות SEO","גרינגו לעומת מוצילר - יציבות אורגנית","תובנה","גרינגו: אחוז כוונה אינפורמטיבית קופץ 52.6%-87.3% תלוי בטווח הזמן (לא יציב, איבד 2.2K מילות מפתח לאחרונה, תנועה -74% בחודש). מוצילר: יציב בטווח צר 61-70% בכל 5 הטווחים שנבדקו (28 יום/1/2/3/6 חודשים). מסקנה: לסמוך יותר על מגמות של מוצילר, ולהתייחס לנתוני גרינגו כמטרה נעה.","לידיעה"
"תובנה אסטרטגית","ערוצי תנועה","השוואת ערוצי שיווק - שני האתרים","תובנה","גרינגו: 45.7% ישיר + 47% אורגני (כמעט 93% משילוב תנועה ישירה+אורגנית, כמעט 0% חברתי/דיספליי). מוצילר: 60.7% אורגני, 13.8% ישיר, אבל כן מריץ פרסום חברתי ממומן (7.6%) ודיספליי (1.5%) - מגוון יותר. VAMOS לא צריך להיות תלוי רק בחיפוש אורגני.","לידיעה"
"תובנה אסטרטגית","כוונת חיפוש","אף אחד לא תופס חיפוש טרנזקציוני","תובנה","גרינגו: 93.2%(מאי)/עד 0.6% (6 חודשים) טרנזקציוני - כמעט אפס תמיד. מוצילר: 0.1-2% טרנזקציוני. כל הנישה היא אינפורמטיבית - מאשש שמודל תוכן/מדריכים (לא חנות/הזמנות) הוא הנכון ל-VAMOS.","לידיעה"
"תובנה אסטרטגית","מתודולוגיה","אף פעם לא לסמוך על אחוז YoY בודד","תובנה","טווחי הזמן הזמינים בחבילה: 28 יום, 1/2/3/6 חודשים (12+ חודשים נעול, דורש שדרוג). בוליביה הייתה דוגמה מובהקת: YoY הראה +380% (מטעה, בסיס נמוך) אבל בדיקה ב-3 ו-6 חודשים הראתה ירידה של 50-56%. כלל: לבדוק לפחות 2 טווחים לפני שקובעים מגמה.","לידיעה"
"תובנה אסטרטגית","מתחרים חדשים","sollatino.co.il - סוכנות נסיעות עם תוכן","פרופיל מתחרה","חפיפת מילים: 73.68% עם גרינגו, 57.89% עם מוצילר - הכי גבוהה שנמצאה. סוכנות נסיעות אמיתית (לא רק מדיה), 1,054 ביקורים/חודש, 28 מילות מפתח, מריצה פרסום ממומן (37% מהתנועה). מבנה אתר: מודיעין יעדים (דפי עובדות קצרים לפי מדינה) + מאמרים (10 מאמרי תוכן ארוכים) + טיפים. תוכן איכותי לגודלה. 26 שורות תוכן נכנסו לטבלה בקטגוריית מקור 'סול לטינו'.","לידיעה"
"תובנה אסטרטגית","מתחרים חדשים","latini.co.il - תוכן+השכרת דירות, צמיחה מהירה","פרופיל מתחרה","חפיפה 71.43% עם מוצילר. אתר זעיר (4,580 ביקורים/חודש) אבל +1,524% צמיחת חיפוש אורגני YoY(!) - לעקוב תקופתית, עלול להפוך למתחרה אמיתי. 13 מילות מפתח בלבד, אפס השקעת SEO בכתובות URL (עדיין ?page_id=X). מוצר: השכרת דירות בדרום אמריקה (כמו MuchiCard מיני). 4 שורות נכנסו לטבלה בקטגוריית מקור 'לטיני'.","לידיעה"
"תובנה אסטרטגית","מתחרים שנפסלו","masa.co.il - לא מתחרה תוכן (ארגון רשמי)","פרופיל מתחרה - נפסל","אתר 'מסע' - הארגון הרשמי לשנת גאפ אחרי צבא. 275K ביקורים אבל חפיפת מילים נמוכה (3-4%) וזה לא אתר תוכן דרום-אמריקאי - זה ארגון עם פעילות רב-יעדית. לא רלוונטי כמקור תוכן להעתקה/השראה, רק כנקודת ייחוס מוסדית.","לידיעה"
"תובנה אסטרטגית","מתחרים שנפסלו","ish-haolam.co.il - לא מתחרה תוכן (סוכנות בוטיק)","פרופיל מתחרה - נפסל","'איש העולם' - סוכנות טיולים פרטיים בוטיק, מתמחה באסיה (וייטנאם/קמבודיה/לאוס), לא בדרום אמריקה. חפיפת 16-22% מגיעה ממונחי תכנון-יעד גנריים, לא מתוכן דרום-אמריקאי משותף. 2-3 עמודי חבילות בלבד לדרום אמריקה. לא רלוונטי כמקור השראה.","לידיעה"
"Similarweb - Long Tail","כללי - יבשת","האגמים היפים ביותר במרכז ובדרום אמריקה","רעיון חדש (מבוסס ביקוש אמיתי)","מילת חיפוש אמיתית שכבר מביאה קליקים לגרינגו: 'לים במרכז ובדרום אמריקה' - 160 קליקים, נפח חיפוש 600. Long-Tail Opportunity מאומת ע''י Similarweb.","לידיעה"
"Similarweb - Long Tail","פרו","טיול להוואי וואש בספטמבר - מדריך עונתי","רעיון חדש (מבוסס ביקוש אמיתי)","מילת חיפוש: 'טיול בספטמבר בוואי וואש' - 100 קליקים, נפח חיפוש 460. שאלת תזמון קונקרטית עם ביקוש מוכח.","לידיעה"
"Similarweb - Long Tail","כללי - יבשת","מוצ׳ילה נחשבת מזוודה או תיק יד בטיסה?","רעיון חדש (מבוסס ביקוש אמיתי)","מילת חיפוש: 'אם מוצ׳ילה נחשבת מזוודה' - 50 קליקים, נפח חיפוש 200. שאלת מטען טיסה מעשית - FAQ קצר עם ביקוש אמיתי.","לידיעה"
"Similarweb - Long Tail","ברזיל","מקומות לינה מומלצים בריו דה ז׳נרו","רעיון חדש (מבוסס ביקוש אמיתי)","מילת חיפוש: 'מקומות לינה בריו דה ז׳נרו' - נפח חיפוש 1.6K(!) הגבוה ביותר מבין ה-Long-Tail Opps. פוטנציאל תנועה משמעותי.","לידיעה"
"Similarweb - Long Tail","ברזיל","עובדות מהירות על ברזיל - כמה תושבים, שטח, שפה","רעיון חדש (מבוסס ביקוש אמיתי)","מילת חיפוש: 'כמה תושבים יש בברזיל' - נפח חיפוש 2.5K. תוכן טריוויה/עובדות מהירות - קל לכתיבה, ביקוש גבוה יחסית.","לידיעה"
"Similarweb - Long Tail","ארגנטינה","הקרחון המתנפח באל קלפטה - מדריך ביקור","רעיון חדש (מבוסס ביקוש אמיתי)","מילת חיפוש: 'קרחון מתנפח אל קלפטה' - נפח חיפוש 1K. תופעת טבע ספציפית עם ביקוש חיפוש ממוקד.","לידיעה"
"Similarweb - Long Tail","מקסיקו","מה קידומת הטלפון של מקסיקו - ועוד מידע מעשי","רעיון חדש (מבוסס ביקוש אמיתי)","מילת חיפוש: 'מה הקידומת של מקסיקו' - נפח חיפוש 230. שאלת מידע מעשי טהורה - FAQ.","לידיעה"
"Similarweb - Long Tail","בוליביה","כמה עולה ויזה לבוליביה - מדריך עדכני","רעיון חדש (מבוסס ביקוש אמיתי)","מילת חיפוש: 'כמה עולה ויזה לבוליביה' - נפח חיפוש 120. שאלת עלות קונקרטית עם כוונת רכישה/תכנון.","לידיעה"
"Similarweb - Long Tail","קוסטה ריקה","דרכי טיולים מומלצות בקוסטה ריקה","רעיון חדש (מבוסס ביקוש אמיתי)","מילת חיפוש: 'דרכי טיולים בקוסטה ריקה' - נפח חיפוש 120.","לידיעה"
